Species,longitude,latitude,prov,date,key
Helianthus angustifolius,-82.370931,27.400249,gbif,11/18/2019,2460012497
Helianthus angustifolius,-94.378988,30.581137,gbif,11/16/2019,2460048646
Helianthus angustifolius,-81.559945,26.452688,gbif,11/16/2019,2460118858
Helianthus angustifolius,-88.654422,30.45211,gbif,11/9/2019,2460124779
Helianthus angustifolius,-84.9598,30.040911,gbif,11/25/2019,2465219164
Helianthus angustifolius,-94.953975,29.459122,gbif,11/21/2019,2465296611
Helianthus angustifolius,-84.924348,30.192086,gbif,11/25/2019,2465304114
Helianthus angustifolius,-93.162575,30.94199,gbif,4/28/2018,1841225136
Helianthus angustifolius,-94.764907,29.527457,gbif,4/28/2018,1841232654
Helianthus angustifolius,-95.224872,29.439311,gbif,4/29/2018,1847425956
Helianthus angustifolius,-95.451736,29.759517,gbif,4/28/2018,2429184788
Helianthus angustifolius,-94.953491,29.461341,gbif,4/30/2018,2429184941
Helianthus angustifolius,-94.389161,29.802227,gbif,4/29/2018,2429185015
Helianthus angustifolius,-94.389572,29.802584,gbif,4/29/2018,2429185054
Helianthus angustifolius,-95.353058,29.162553,gbif,5/23/2018,1847600548
Helianthus angustifolius,-95.447971,29.708177,gbif,5/10/2018,2429185368
Helianthus angustifolius,-85.652008,34.16925,gbif,6/27/2018,1880615193
Helianthus angustifolius,-85.129897,35.588569,gbif,6/28/2018,1891294074
Helianthus angustifolius,-85.651856,34.168931,gbif,6/27/2018,1933540271
Helianthus angustifolius,-81.262572,29.644069,gbif,6/16/2018,2013701952
Helianthus angustifolius,-94.954087,29.459155,gbif,6/8/2018,2429186321
Helianthus angustifolius,-85.129914,35.588599,gbif,6/28/2018,2540716853
Helianthus angustifolius,-79.31761,35.474733,gbif,7/6/2018,1883498302
Helianthus angustifolius,-96.272615,29.754985,gbif,7/16/2018,1933540000
Helianthus angustifolius,-94.970248,29.35314,gbif,7/23/2018,2429188166
Helianthus angustifolius,-87.157136,36.642125,gbif,7/29/2018,2540717543
Helianthus angustifolius,-94.957455,29.457513,gbif,8/12/2018,1891320667
Helianthus angustifolius,-95.597084,29.25494,gbif,8/9/2018,1932303550
Helianthus angustifolius,-88.783611,33.271143,gbif,8/16/2018,1933598395
Helianthus angustifolius,-93.19582,30.260965,gbif,8/14/2018,2006031401
Helianthus angustifolius,-89.66571,30.496516,gbif,9/5/2018,1913153568
Helianthus angustifolius,-88.6576,30.450085,gbif,9/7/2018,1913157758
Helianthus angustifolius,-89.403717,31.344289,gbif,9/8/2018,1913162195
Helianthus angustifolius,-84.790154,36.076892,gbif,9/19/2018,1913707286
Helianthus angustifolius,-89.403848,31.345656,gbif,9/14/2018,1914199825
Helianthus angustifolius,-88.653831,30.451475,gbif,9/24/2018,1914226752
Helianthus angustifolius,-92.344467,34.565203,gbif,9/26/2018,1914241686
Helianthus angustifolius,-93.996703,35.327087,gbif,9/26/2018,1914244067
Helianthus angustifolius,-92.223548,32.680653,gbif,9/29/2018,1914330400
Helianthus angustifolius,-86.771637,31.479246,gbif,9/29/2018,1914331433
Helianthus angustifolius,-88.808875,37.129064,gbif,9/30/2018,1931480474
Helianthus angustifolius,-85.473533,32.015572,gbif,9/23/2018,1933543446
Helianthus angustifolius,-86.583443,32.447435,gbif,9/19/2018,1944375766
Helianthus angustifolius,-74.499833,40.524137,gbif,9/30/2018,1944378632
Helianthus angustifolius,-89.723915,33.737849,gbif,9/26/2018,1945421425
Helianthus angustifolius,-95.475321,29.045264,gbif,9/29/2018,1978418432
Helianthus angustifolius,-75.830017,36.39205,gbif,9/21/2018,2234546815
Helianthus angustifolius,-80.2192,34.5069,gbif,9/20/2018,2235881464
Helianthus angustifolius,-80.0949,34.5668,gbif,9/22/2018,2236055112
Helianthus angustifolius,-76.936741,39.025281,gbif,9/25/2018,2242742262
Helianthus angustifolius,-88.771537,35.391152,gbif,9/26/2018,2294406499
Helianthus angustifolius,-81.009028,35.118345,gbif,9/21/2018,2422818581
Helianthus angustifolius,-95.446863,29.662482,gbif,9/13/2018,2429190936
Helianthus angustifolius,-95.106728,29.67259,gbif,9/24/2018,2429191445
